epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,13662.8,1.47597,0.9498,0.97777,0.7222,0.43502,0.47596,0.3014,1.54328,1.05474,0.99784,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
89,13816,1.4956,0.93008,0.97439,0.76494,0.43433,0.48499,0.306,1.54578,1.02652,0.99684,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
90,13967.7,1.49649,0.92499,0.96929,0.72312,0.43977,0.48453,0.3101,1.53442,1.03571,0.98915,0.0255945,0.0085315,0.0255945,0.0085315,0.0255945,0.0085315,0.0255945,0.0085315
91,14120.8,1.47207,0.92732,0.97203,0.76,0.43174,0.4846,0.30623,1.53984,1.01758,1.00207,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
92,14273.1,1.50474,0.93469,0.96957,0.72808,0.42858,0.47225,0.30471,1.52691,1.02276,0.99123,0.0254955,0.0084985,0.0254955,0.0084985,0.0254955,0.0084985,0.0254955,0.0084985
93,14429,1.45572,0.92243,0.97409,0.75845,0.43,0.47771,0.30225,1.53405,1.01545,0.99133,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
94,14580.2,1.52018,0.95427,0.977,0.71392,0.44066,0.47587,0.29827,1.5477,1.03334,1.00271,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
95,14733,1.47555,0.92917,0.96552,0.74213,0.43279,0.48237,0.30565,1.53846,1.03428,0.99424,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
96,14882.6,1.47454,0.92342,0.97506,0.71331,0.44441,0.4843,0.30827,1.54136,1.03953,0.99269,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
97,15031.8,1.47436,0.92857,0.97569,0.74606,0.42966,0.4843,0.30508,1.53887,1.02857,0.99324,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
98,15183.3,1.48485,0.91928,0.97112,0.7302,0.44103,0.48203,0.30819,1.53578,1.02149,0.99208,0.0251985,0.0083995,0.0251985,0.0083995,0.0251985,0.0083995,0.0251985,0.0083995
99,15332.2,1.45453,0.90375,0.97061,0.74576,0.42852,0.47699,0.30812,1.54294,1.02531,0.99454,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
100,15488.8,1.49916,0.9347,0.96419,0.72739,0.44991,0.48598,0.30694,1.53019,1.00952,0.99442,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
101,15638.7,1.46286,0.90381,0.96539,0.70339,0.44743,0.47916,0.3059,1.53959,1.02134,0.99064,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
102,15791.3,1.48213,0.9141,0.96904,0.7764,0.42978,0.48452,0.3106,1.5241,1.01629,0.98916,0.0250005,0.0083335,0.0250005,0.0083335,0.0250005,0.0083335,0.0250005,0.0083335
103,15942,1.45588,0.91281,0.96167,0.72269,0.44293,0.48645,0.30323,1.54484,1.01123,0.99487,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
104,16093.6,1.44786,0.91233,0.96956,0.73671,0.44362,0.48059,0.30297,1.53262,1.0061,0.99212,0.0249015,0.0083005,0.0249015,0.0083005,0.0249015,0.0083005,0.0249015,0.0083005
105,16250.3,1.48611,0.91547,0.96618,0.67366,0.44669,0.4792,0.30275,1.53261,0.99808,0.99584,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
106,16405.2,1.4685,0.90266,0.96968,0.74457,0.44959,0.49421,0.31326,1.53039,1.01434,0.99187,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
107,16558.2,1.45675,0.89833,0.96355,0.76163,0.44098,0.49622,0.31569,1.53487,1.01465,0.99325,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
108,16709.7,1.4922,0.90989,0.95826,0.74624,0.45429,0.49676,0.31859,1.52064,1.00494,0.98538,0.0247035,0.0082345,0.0247035,0.0082345,0.0247035,0.0082345,0.0247035,0.0082345
109,16860,1.46723,0.89679,0.9567,0.75134,0.44733,0.48819,0.31346,1.51909,0.98032,0.98638,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
110,17021.3,1.46405,0.90494,0.96188,0.73967,0.4416,0.48946,0.31139,1.53604,1.00693,0.98764,0.0246045,0.0082015,0.0246045,0.0082015,0.0246045,0.0082015,0.0246045,0.0082015
111,17172,1.48185,0.89815,0.95419,0.75956,0.44582,0.49513,0.31474,1.52986,0.99528,0.98888,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
112,17325.9,1.47339,0.90206,0.96339,0.73778,0.44361,0.49193,0.31236,1.52671,0.99147,0.98833,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
113,17481,1.44101,0.88314,0.95418,0.77171,0.45168,0.49934,0.32168,1.51454,0.99018,0.98076,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
114,17631.4,1.46732,0.90682,0.9599,0.76829,0.44835,0.49732,0.31835,1.51276,0.98057,0.98811,0.0244065,0.0081355,0.0244065,0.0081355,0.0244065,0.0081355,0.0244065,0.0081355
115,17785.1,1.45747,0.8986,0.96087,0.77152,0.44494,0.49454,0.31982,1.5257,0.98449,0.99041,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
116,17941.7,1.45633,0.89468,0.96501,0.74535,0.44367,0.489,0.31404,1.52145,0.98572,0.98903,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
117,18093.7,1.44662,0.89596,0.96076,0.72596,0.45389,0.49559,0.3187,1.52323,0.9898,0.98905,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
118,18245.2,1.46305,0.87955,0.95799,0.75507,0.45687,0.50231,0.31784,1.50967,0.98247,0.98787,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
119,18395.8,1.43316,0.87082,0.95601,0.71963,0.45158,0.4957,0.31525,1.53095,0.98332,0.99079,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
120,18544.6,1.45206,0.89816,0.96185,0.74598,0.44863,0.49237,0.31498,1.52645,0.99843,0.99161,0.0241095,0.0080365,0.0241095,0.0080365,0.0241095,0.0080365,0.0241095,0.0080365
121,18698.3,1.41791,0.87227,0.95537,0.72903,0.4569,0.49763,0.31442,1.51882,0.98644,0.98658,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
122,18849.3,1.43179,0.87175,0.95276,0.74662,0.45616,0.4974,0.32084,1.51119,0.97543,0.98471,0.0240105,0.0080035,0.0240105,0.0080035,0.0240105,0.0080035,0.0240105,0.0080035
123,18999.3,1.42242,0.8655,0.95591,0.77032,0.45387,0.50449,0.32333,1.51113,0.98532,0.98743,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
124,19154.6,1.43816,0.87294,0.9538,0.75779,0.45986,0.5099,0.32833,1.50931,0.96557,0.98514,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
125,19312.6,1.43703,0.8701,0.95089,0.7339,0.46674,0.49799,0.32119,1.50947,0.98009,0.98564,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
126,19463.6,1.44555,0.87922,0.96031,0.78996,0.44852,0.49906,0.32049,1.50585,0.98747,0.97877,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
127,19616.5,1.44016,0.88356,0.95241,0.75516,0.45836,0.50406,0.32204,1.50509,0.97921,0.98515,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
128,19768.2,1.47053,0.88982,0.9506,0.75369,0.46263,0.50479,0.32749,1.50518,0.97313,0.97907,0.0237135,0.0079045,0.0237135,0.0079045,0.0237135,0.0079045,0.0237135,0.0079045
129,19918.4,1.4356,0.86309,0.95403,0.74664,0.46009,0.50706,0.32227,1.51129,0.97513,0.98589,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
130,20068.2,1.44124,0.88278,0.95283,0.75113,0.44392,0.49621,0.31838,1.50827,0.99444,0.98332,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
131,20217.7,1.41593,0.86522,0.95282,0.75059,0.44742,0.4954,0.31849,1.50946,0.98448,0.98255,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
132,20370.3,1.43511,0.87604,0.94902,0.69198,0.46593,0.50803,0.32375,1.49751,0.96394,0.97913,0.0235155,0.0078385,0.0235155,0.0078385,0.0235155,0.0078385,0.0235155,0.0078385
